4	1698	19
4	1702	101
4	23841	20
4	23839	16
4	2272	6
4	2288	111
4	1706	1011
7	23847	2
7	2520	4096
7	2446	33
7	2866	15
7	3502	a15
11	1727	14
11	4233	240
11	4274	420
11	4243	70
11	3919	16
16	24051	3363
16	23884	12112
16	23627	1338
16	23190	32727
16	13677	2024
23	23907	150
23	23906	29
23	23901	8580
23	23664	30
23	23202	105
8	10755	1866
8	23770	504
8	23769	3352
8	24145	6400
8	23764	6574
6	23524	33
6	23929	203
6	23742	275
6	10753	55
6	23747	411
1	1692	12
1	1693	21
1	13662	45
1	11748	38
1	23690	25
2	1695	zyxw
2	1814	yxwz
2	4590	zyxw
2	10749	wyzx
2	23392	xwyz
3	1677	1509
3	23401	1197
3	23709	777700
3	23711	300
3	23716	60065
5	23731	729
5	23741	25
5	3763	106
5	3764	77
5	691	86
13	26641	224
13	26645	3
13	26648	30
13	26658	224
13	26656	224
14	24070	140
14	24068	3058
14	23809	1439307078
14	23807	162947670
14	24066	152
15	23615	36
15	23183	34
15	15840	62
15	927	48
15	13676	58
10	860	7
10	27275	50
10	23165	3
10	23781	47
10	27326	9
12	25096	33
12	23588	18
12	23591	29
12	23788	646
12	23792	17
18	23191	1116;748
18	23632	2750;1820
18	23888	1978;749
18	23932	2166;730
18	23931	2024;732
